comment,rating
"我最喜歡粉漿蛋餅
餐點：5
服務：5
氣氛：5",5
好吃！老闆娘很熱情,5
餡餅皮薄多汁，老闆娘親切😇 …,5
"好吃到爆炸 太牛逼了吧🤙🏻🤙🏻🤙🏻
服務
內用
餐點類型
午餐
餐點：5
服務：5
氣氛：5",5
"好吃😋😋😋💞
餐點：5
服務：5
氣氛：5",5
,5
,5
,5
,4
,5
,5
